,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
Total,36,,,,3288.0,,,34.902,,4.899000000000001,,,699637792,0,,,7507.04,13.033055555555558,7507.084548843477,13.033132897297701,42.415277777777774,33816.58196565941,48.58294417178122,2548.010000000708,2592,1944,216,6.059000000000001,24977.072440000004,71.69,753.64,,,135,2700,32400,720,9,,,,,1261440,8,
Mean,4.0,,,0.25,365.3333333333333,,,3.8779999999999992,,0.5443333333333333,,,77737532.44444445,0.0,nan,,834.1155555555556,1.4481172839506173,834.120505427053,1.4481258774775225,5.301909722222222,4227.072745707426,6.072868021472653,283.1122222223009,288.0,216.0,24.0,0.6732222222222224,2775.230271111111,7.9655555555555555,83.73777777777778,15.5,,15.0,300.0,3600.0,80.0,1.0,,,,,140160.0,0.8888888888888888,
Median,4.0,,,0.0,365.0,,,3.878,,0.462,,,77751039.0,0.0,nan,,640.96,1.1127777777777779,639.6465573770492,1.110497495446266,5.235277777777778,3563.416601242343,3.9437926529190532,284.09999999962747,288.0,216.0,24.0,0.661,2592.205633,7.93,76.87,15.5,,15.0,300.0,3600.0,80.0,1.0,,,,,140160.0,1.0,
Min,0,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output000,3.863,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart000,0.46,Ryan Holmes,2023-03-22T20:43:11,77635048,0,[],normal,602.56,1.0461111111111112,602.9727123287671,1.0468276255707762,0.1894444444444443,1694.6447709593776,1.6058934701571272,275.62000000011176,288,216,24,0.645,2416.104852,5.3,73.71,"[16, 15]",cartesian,15,300,3600,80,1,007d9bcbeab57fd825a48afe3d9e8c891cf91b35,2023-03-22 19:40:48 +1100,,"['update run summary', '2023-03-23 10:13:50: Run 1']",0,False,continue
Max,8,1988-01-01T00:00:00,1989-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_era5_iaf_1980p,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/output008,3.887,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf_1980p/restart008,1.207,Ryan Holmes,2023-03-25T03:05:57,77811243,0,[],normal,2357.92,4.0936111111111115,2359.5350136986303,4.0964149543379,10.841111111111111,11812.91467576792,18.46787814227947,288.87000000011176,288,216,24,0.753,3957.047052,10.2,140.97,"[16, 15]",cartesian,15,300,3600,80,1,cd24093d8739fb4c79ef28fb445609b3d447d117,2023-03-25 02:03:17 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf_1980p.csv","['update run summary', '2023-03-25 02:03:17: Run 8']",280320,True,initial
Std dev,2.581988897471611,,,0.4330127018922193,0.4714045207910317,,,0.006146362971528596,,0.23428899533126463,,,59036.24444188899,0.0,nan,,539.7909733531864,0.9371371065159485,540.3840461457262,0.9381667467807746,3.5792534386646215,3113.650018563303,5.194751063120921,4.196683287710684,0.0,0.0,0.0,0.0310439751813734,446.5760763590662,1.7604741224461296,20.282877714837745,0.5,,0.0,0.0,0.0,0.0,0.0,,,,,90472.89096740526,0.3142696805273545,
SU correlation,-0.3985200845311832,,,,-0.27859733665378084,,,0.004393873040808151,,-0.12724943574115827,,,-0.4240784472874713,nan,,,1.0,0.9999999999999998,0.9999989856823169,0.9999989856823167,,,,0.23000412751896276,nan,nan,nan,0.9302806276283992,0.9537906746486068,-0.264591796527069,-0.12377411572967865,,,nan,nan,nan,nan,nan,,,,,-0.3985200845311832,0.14307136485267094,
SU slope,-83.3146666666666,,,,-319.01333333333895,,,385.8823529438538,,-293.1767950954941,,,-0.0038775115186186187,,,,1.0000000000000002,576.0,0.9989014843863295,575.367255006526,,,,29.58387454022948,1.4481172839506173,1.9308230452674897,17.377407407407407,16175.669595962203,1.1528776929595406,-81.1282946835735,-3.294017315737087,,,27.803851851851853,1.3901925925925926,0.11584938271604939,5.213222222222223,417.0577777777778,,,,,-0.0023777016742770186,245.74000000000015,
Dimensionless SU slope,-0.39953536946652707,,,,-139.72429079903907,,,1.7940580951275578,,-0.19132349357041198,,,-361.3746026850659,,,,1.0000000000000002,1.0,0.9989074121429254,0.9989074121429258,,,,10.041242376125751,0.5,0.5,0.5,13.055529487245972,3.835800748565416,-0.774751093089338,-0.3306900202785783,,,0.5,0.5,0.5,0.5,0.5,,,,,-0.39953536946652773,0.26187685159530266,
