,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
Total,45,,,,3653.0,,,40.092,,4.774000000000001,,,762888690,20,,,6373.4400000000005,11.065000000000001,6372.312211093644,11.06304203314869,0.04666666666666641,123839.14971419577,196.52486867149548,2820.9399999994785,2880,2160,240,6.534999999999999,25492.780257000002,99.72000000000001,770.81,,,150,3000,36000,800,10,,,,,1576800,9,
Mean,4.5,,,0.25,365.3,,,4.0092,,0.4774000000000001,,,76288869.0,2.0,"[6454255.4 7141417.2 7141500.5 7141518.  7180451.9 7180990.6 7182361.2
 7267621.5 7268656.6 7385347.3 7585797.  7585988.4 7598713.3 7600240.7
 7605638.4 7607393.6 7609429.5 7612762.  7613428.6 7624999.7]",,637.3439999999999,1.1065,637.2312211093644,1.1063042033148691,0.005185185185185157,13759.905523799527,21.836096519055054,282.09399999994787,288.0,216.0,24.0,0.6535,2549.2780257000004,9.972,77.08099999999999,15.5,,15.0,300.0,3600.0,80.0,1.0,,,,,157680.0,0.9,
Median,4.5,,,0.0,365.0,,,3.8845,,0.4615,,,76287472.5,0.0,[],,630.0,1.09375,630.431506849315,1.0944991438356164,0.005277777777777715,13758.286715036278,21.852913799797,284.570000000298,288.0,216.0,24.0,0.652,2524.6746970000004,8.985,77.0,15.5,,15.0,300.0,3600.0,80.0,1.0,,,,,157680.0,1.0,
Min,0,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output000,3.881,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart000,0.134,Ryan Holmes,2023-03-11T14:47:53,76251394,0,[],normal,580.0,1.0069444444444444,580.3972602739726,1.0076341324200913,-0.003055555555555589,13663.052391799545,19.26511186715758,271.5599999995902,288,216,24,0.629,2273.530695,6.45,74.12,"[16, 15]",cartesian,15,300,3600,80,1,13d17edbf39692a6f056069fb187cc9cf5c10d2f,2023-03-11 13:39:43 +1100,,"['2023-03-11 14:51:02: Run 1', 'update run summary']",0,False,continue
Max,9,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/1deg_era5_iaf,/g/data/e14/rmh561/access-om2/archive/1deg_era5_iaf/output009,5.13,/scratch/e14/rmh561/access-om2/archive/1deg_era5_iaf/restart009,1.207,Ryan Holmes,2023-03-12T00:44:07,76323877,20,"[64542554, 71414172, 71415005, 71415180, 71804519, 71809906, 71823612, 72676215, 72686566, 73853473, 75857970, 75859884, 75987133, 76002407, 76056384, 76073936, 76094295, 76127620, 76134286, 76249997]",normal,716.8,1.2444444444444445,715.3311475409836,1.2418943533697633,0.012777777777777777,13865.456924754633,23.713502450699792,288.3099999995902,288,216,24,0.691,2967.588318,14.5,81.32,"[16, 15]",cartesian,15,300,3600,80,1,fd7c722feb8c26bab3672b82d2bee79647e3cf39,2023-03-11 23:44:24 +1100,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_1deg_era5_iaf.csv","['2023-03-11 23:41:05: Run 9', 'update run summary']",315360,True,initial
Std dev,2.8722813232690143,,,0.4330127018922193,0.45825756949558405,,,0.37361258008798365,,0.269689525195177,,,22895.287663621963,6.0,,,43.528305089906716,0.0755699741144214,43.12322159292033,0.0748667041543756,0.003954473426678274,49.97542967069948,1.4535272807331274,5.6400783683468845,0.0,0.0,0.0,0.021369370603740282,236.22560999637668,2.6423618223097303,2.0758971554486982,0.5,,0.0,0.0,0.0,0.0,0.0,,,,,100644.73756734627,0.30000000000000004,
SU correlation,0.36523738129211947,,,,0.4867255567032101,,,0.30234957516202104,,-0.13313234245507957,,,0.34244353032047425,0.2996977094878493,,,0.9999999999999999,0.9999999999999997,0.9998619002162813,0.9998619002162812,,,,-0.30410088755943704,nan,nan,nan,0.820905814540538,0.854267035450792,-0.16745384585175088,0.5745950907773524,,,nan,nan,nan,nan,nan,,,,,0.36523738129211947,-0.29969770948784935,
SU slope,5.535030303030301,,,,46.232380952382606,,,35.22569970303667,,-21.487765294275576,,,0.0006510504118933577,2.1742222222222125,,,0.9999999999999993,575.9999999999999,1.0092542308465526,581.330436967614,,,,-2.34695253280293,1.1064999999999998,1.4753333333333332,13.277999999999999,1672.1427789335305,0.15741221346797465,-2.7585102195965634,12.048357188057908,,,21.2448,1.0622399999999999,0.08852000000000002,3.9834,318.67199999999997,,,,,0.00015796319357963375,-43.48444444444448,
Dimensionless SU slope,0.03908036533431924,,,,26.498545152861514,,,0.22158657687122593,,-0.016095325525127973,,,77.92950052927212,0.006822758893853908,,,0.9999999999999993,1.0,1.0090756419329925,1.0090756419329923,,,,-1.0387816121096103,0.5,0.5,0.5,1.714529839510629,0.6296246560267383,-0.04316015198984682,1.4571399752922936,,,0.5000000000000001,0.5,0.5000000000000002,0.5000000000000001,0.5,,,,,0.039080365334319696,-0.0614048300446855,
